fund_code,fund_name,report_date,stock_code,stock_name,weight,status
018994,中欧数字经济混合发起C,2026-06-30,688256,寒武纪,0.0627,ok
018994,中欧数字经济混合发起C,2026-06-30,2463,沪电股份,0.0609,ok
018994,中欧数字经济混合发起C,2026-06-30,981,中芯国际,0.0502,ok
018994,中欧数字经济混合发起C,2026-06-30,2916,深南电路,0.0472,ok
018994,中欧数字经济混合发起C,2026-06-30,1888,建滔积层板,0.0451,ok
018994,中欧数字经济混合发起C,2026-06-30,2938,鹏鼎控股,0.0411,ok
018994,中欧数字经济混合发起C,2026-06-30,300408,三环集团,0.0403,ok
018994,中欧数字经济混合发起C,2026-06-30,688300,联瑞新材,0.0329,ok
020900,天弘中证全指通信设备指数发起C,2026-06-30,300502,新易盛,0.1506,ok
020900,天弘中证全指通信设备指数发起C,2026-06-30,300308,中际旭创,0.1421,ok
020900,天弘中证全指通信设备指数发起C,2026-06-30,601138,工业富联,0.0882,ok
020900,天弘中证全指通信设备指数发起C,2026-06-30,600487,亨通光电,0.0676,ok
020900,天弘中证全指通信设备指数发起C,2026-06-30,300394,天孚通信,0.0622,ok
020900,天弘中证全指通信设备指数发起C,2026-06-30,600522,中天科技,0.0514,ok
020900,天弘中证全指通信设备指数发起C,2026-06-30,2281,光迅科技,0.038,ok
020900,天弘中证全指通信设备指数发起C,2026-06-30,300136,信维通信,0.0375,ok
020900,天弘中证全指通信设备指数发起C,2026-06-30,63,中兴通讯,0.0341,ok
020900,天弘中证全指通信设备指数发起C,2026-06-30,600105,永鼎股份,0.025,ok
023536,博时中证金融科技主题ETF联接A,2026-06-30,300033,同花顺,0.1164,ok
023536,博时中证金融科技主题ETF联接A,2026-06-30,300059,东方财富,0.1138,ok
023536,博时中证金融科技主题ETF联接A,2026-06-30,300803,指南针,0.0635,ok
023536,博时中证金融科技主题ETF联接A,2026-06-30,600570,恒生电子,0.0608,ok
023536,博时中证金融科技主题ETF联接A,2026-06-30,300339,润和软件,0.0582,ok
023536,博时中证金融科技主题ETF联接A,2026-06-30,2065,东华软件,0.0304,ok
023536,博时中证金融科技主题ETF联接A,2026-06-30,300085,银之杰,0.0281,ok
023536,博时中证金融科技主题ETF联接A,2026-06-30,2152,广电运通,0.0221,ok
023536,博时中证金融科技主题ETF联接A,2026-06-30,300773,拉卡拉,0.0221,ok
023536,博时中证金融科技主题ETF联接A,2026-06-30,997,新大陆,0.0219,ok
161028,富国中证新能源汽车指数,2026-06-30,300750,宁德时代,0.0926,ok
161028,富国中证新能源汽车指数,2026-06-30,2594,比亚迪,0.0809,ok
161028,富国中证新能源汽车指数,2026-06-30,300124,汇川技术,0.0594,ok
161028,富国中证新能源汽车指数,2026-06-30,300014,亿纬锂能,0.0467,ok
161028,富国中证新能源汽车指数,2026-06-30,2050,三花智控,0.0464,ok
161028,富国中证新能源汽车指数,2026-06-30,2460,赣锋锂业,0.0349,ok
161028,富国中证新能源汽车指数,2026-06-30,2709,天赐材料,0.0347,ok
161028,富国中证新能源汽车指数,2026-06-30,603799,华友钴业,0.0346,ok
161028,富国中证新能源汽车指数,2026-06-30,2466,天齐锂业,0.0299,ok
161028,富国中证新能源汽车指数,2026-06-30,2407,多氟多,0.0282,ok
